review_text,review_rating,cooking_surface,portability,heat_control,durability,accessories
Awesome Grill: I’ve been waiting a long time to buy this grill and it was worth every penny!!!!,5,1,-1,1,1,-1
"28’’ blackstone griddle: Quality control wasn’t that great, there are things that look off especially in the griddle. The griddle also did not fit well the holes were not aligned. I don’t expect this to last more than 2 years.",5,-1,NA,NA,-1,NA
"Yours may be flawed like ours with not lighting on: The grill is nice, but we can’t get it lit by pushing we have to light it with a lighter do not like that part so something must be wrong with it to come out of the box like that",3,NA,NA,-1,NA,NA
"Love it.: Couldn’t believe that actual setup instructions were easy to follow and accurate. Cooks great, easy clean up.",5,1,NA,1,1,NA
"Great!: We’ve been wanting one of these for a while, set up was quick and easy and we looking forward to using it!",5,1,1,1,1,NA
"Awesome Griddle: This will be my first to own, it was a house warming gift and I cannot be more excited! Super easy to put together and season. Ready for summers full of grilling, pool parties, and making memories!",5,1,1,1,1,-1
"Great: Looking forward to learning more about how to cook with this, so far so good!",5,1,NA,NA,NA,NA
Husband Loves: Early Fathers Day and Birthday gift for the hubby. Beautiful and so easy to build!,5,NA,NA,NA,NA,NA
New owner: Looking forward to trying the black stone out very easy to assemble and good instructions,5,NA,NA,NA,NA,NA
Ok: Barely have got to use it. Ok for now I guess. Assembly was a pain as the bolt hole would not line up. I’m a mechanic so I know a bolt threads in nicely or not. Ended up having to get a line-up bar in the hole and twist on it in order to get the threads to line up.,4,NA,NA,-1,1,NA
"Grilled choice: We had heard good things about this brand. So So far we like it well. It would be best to purchase the seasoning and cleaning pack with the grill initially. We had to make another trip to town for it. After we finally seasoned the first time, we grilled steak fajitas and veggie mix along side. YUM YUM YUM. Happy hubby & happy wife and no regrets!  ❤️❤️❤️",5,NA,NA,NA,NA,1
Awesome: Didnt realize how much better cooking on this griddle was compaired to the old style grills,4,1,0,1,1,-1
"Griddle: Nice product overall, but the griddle isn’t very flat, it’s bowed in the middle.",3,0,0,0,0,0
Blackstone girl: This was the easiest grill to assmble and can’t wait to use it weekly.,5,NA,NA,NA,NA,NA
"New griddle.: We purchased the blackstone a couple weeks ago and I've gotten to use it multiple times already. It's amazing, heats up so fast, and easy to clean. It's been a game changer for cooking outside!",5,1,NA,1,1,NA
A great product for a great price: Easy assembly with easy to read and understand instructions. Simple pictures accompany each step.,5,NA,NA,NA,NA,NA
Easy build up: So easy to put together and looks like it is well designed with good materials.,4,NA,NA,NA,NA,NA
"Not happy: The hard cover is missing a handle and the paint on the back is chipping off, and there’s a miss alignment with the griddle one of the front pins is not sitting right.",1,NA,NA,NA,-1,0
Cooks everything perfect!: I've had my Blackstone Grill for two weeks now.  I'm Whole Plant Based so I cook alot of veggies on it.  The Blackstone Cooks them all prefect! I couldn't be happier with it!,5,1,-1,1,1,-1
"It should be great, once it works: I cleaned the grill as instructed and let it dry, I was going to heat it up and treat the top but no ignition, no click or anything.  Also the burner knob closest to the ignition button turns very rough, can't tell of it is actually working at all.  Im hoping Blackstone can help me resolve this so i can start grilling.",3,0,0,-1,0,0
Upgraded griddle: We upgraded our small portable blackstone to the 28” and we love it! Well use the smaller one for camping and now we can use the new one for more dinner ideas!,5,1,0,1,1,0
"Amazing!: We have only had this griddle for a week and it has been so much fun! We have cooked breakfast, tacos, steaks and hibachi so far and everything has been amazingly yummy!",5,1,NA,1,1,NA
"So far so good: Just got and did breakfast for dinner. Little bit of a learning curve as far as heat goes, but once I got the hang of it, it was awesome!",5,1,0,1,1,0
Not used yet: I need a new control knob as one will not control the valve,4,NA,NA,-1,NA,NA
New Blackstone: Just got my new Blackstone today. My son has one and loves his.,5,NA,NA,NA,NA,NA
"Best all around grill: I love the blackstone grill!  If your wondering if its right for you, don't hesitate.  Its perfect for quickly cooking pancakes for a crowd.  Chicken does not come out burnt.  Great for grilling veggies.  Easy to clean with the scraper and water bottle.  I recommend the Blackstone griddle seasoning and cast iron conditioner.  We love our grill and use it weekly!",5,1,NA,1,1,1
1st time owner: Just purchased and looking forward to all the great meals that will be coming,5,NA,NA,NA,NA,NA
"Getting started: Everything was well packaged, took everything out of the box, checked to make sure all items were there and then assembled everything by myself with no issues. Took about 30 minutes. Need to season the griddle and try it out.",4,1,1,1,1,0
Beautiful and really fun to use!!!! It was a gift: I love it!!!! I think there could be a bit more stability in the legs and wheels but I won’t be moving it much. That’s probably the benefit of spending a bit more on the larger models,4,NA,1,1,0,NA
Excited to try the friddle: This is a new experience. So far so good. I am a little concerned that the lid is not secure on one side. The lifting it off and placing it in the back is awkward and a bit dangerous,4,NA,NA,NA,-1,NA
OUTDOOR CHEF'S DREAM: I've been looking and waiting for the right moment to complete my outdoor cooking team. This griddle is EXACTLY what I've been after. Many members of my family in Arkansas have a Blackstone and we've enjoyed each and every cookout on them. Glad I have mine now for when they venture to Ohio!!,5,1,0,1,1,0
"Great grill: Haven’t used it yet, but have used friends and families and love it.",5,NA,NA,NA,NA,NA
Excited to use!: We have been talking about getting a flat top for a few months now and we heard great reviews about the Blackstone griddle. We are excited to use it this summer.,5,1,NA,1,1,NA
pretty easy to solve problems.: Original lid damaged. no problem recieved a new one. Dids not recieve catalog so I will go tomorrow and pick one up.,4,NA,NA,NA,NA,NA
Great results from the start: Seasoned the grill per Blackstone Betty's instructional video and it was perfect.  Veggies and meets cooked perfect.  Hard to mess things up with this griddle top.  Should have purchased this a long time ago.  Thanks for all the videos and content.,5,1,NA,1,1,NA
"Blackstone Griddle: Love the Blackstone. Unfortunately, my three uses, I have a burner that won’t ignite.",3,1,NA,-1,NA,NA
Everyday Use!!: Love the ease of cooking on my Blackstone and makes clean up a breeze,5,1,NA,1,1,NA
"Easypeasy!!!: Havent cooked on it yet, but after 3 trips to lowes for yard stuff and landscaping, it took maybe 15 minutes to put together.  And it looks great!!!",5,0,1,1,1,1
So far so good: We are currently building it and I scanned to register it… so far so good!,5,NA,NA,NA,NA,NA
"Almost, almost perfect: Edges could use a bit more wind shielding, and maybe a way to help level, maybe a way to just adjust legs front to back.",4,NA,NA,NA,NA,NA
Love the griddle and Blackstone but igniter didn't work: Love everything about my product as I got it for a birthday gift but upon using it the igniter didn’t work - even after going through the troubleshooting manual and video. Would love to get this part fixed so I can use it as designed.,4,NA,NA,NA,NA,NA
Poor Control Knob: Got this yesterday.  Left Control Knob already won’t push in.  Have to take off the knob and turn the stud by hand.  The screw head for the control knob bezels gets in the way.  The work if I install them upside down (see pic),2,NA,NA,-1,NA,NA
"So far so great: After putting it together, I noticed the ignition assembly was broken.  Hopefully Blackstone will help me get it fixed.  I used a grill starter to season it, and then cooked a few meals on it.  Meals were great and I had fun doing it.  Looking forward to more meals on the blackstone!",5,NA,NA,NA,NA,NA
Too small: We are switching from a grill to the Blackstone. We thought a 28” would be big enough for our cooking. We were wrong. 32”-38” would have been the ideal size to make Japanese Hibatchi meal for 4.,3,0,NA,NA,NA,NA
"Blackstone knobs backwards and low heat: Knobs turn opposite way. Low flames, spent 2.5 hours trying to season the grill. Followed tutorials and manual for regulator bleed, changed out propane tank, and still could never get the grill hot enough to (smoke) using the Blackstone seasoning. Disappointing purchase.",1,NA,NA,-1,-1,NA
Quality: Strong easy to put together look forward to cooking on it,5,1,NA,1,1,NA
28” Very Nice Grill but not made well from the griddle down to the wheels: We haven’t cooked on ours yet but checking it over completely the griddle looks well made but everything else is cheap metal and not sturdy. Hopefully it meets my expectations for many years,5,1,-1,0,-1,0
Love it!!🥰: It works great and we love using it for our family gatherings,4,1,NA,1,1,NA
My blackstone: Brand new but the bacon cooked very well on our first try!,4,1,NA,0,0,NA
"Nice and solid: While I haven't used it yet, the grill is a good and solid product. Easy to put together as a number of pieces are pre-assembled.",4,NA,NA,NA,1,NA
"Love it: Easy set up, great material. Can’t wait to cook on this tonight.",5,1,NA,NA,1,NA
Awesome: I love how well it cooks and how easy it is to clean,5,1,-1,1,1,-1
Great Grille: Perfect size haven’t had an issue with it yet love making all different types of meals! Been making a lot of hibachi lately 🤤,5,1,NA,1,1,NA
Right Side Burner Won’t Light: Brand new. Right side burner won’t light with igniter. It does light manually. Igniter wire looks like it is in the correct position from burner tube.,3,NA,NA,NA,NA,NA
"Love it!: I love my Blackstone griddle and even gave it a name! The only drawback I have had with it, is that one of the knobs doesn't work properly. It isn't cause to take the whole thing back though. I will just get a replacement knob.",3,1,0,1,-1,0
"Brand new: Haven’t had a chance to use as of yet, but I can say that boxing of product was excellent and build was easy - less than 30 minutes.",4,NA,NA,NA,NA,NA
"There was a gauge in the cooking surface: Did not like Customer service. Called and was put on hold, disconnected and put on hold for an hour. Waiting on line for someone for 45 minutes. No call back either.",2,-1,NA,NA,NA,NA
28” griddle w hard cover: We were super excited to use our new blackstone. We are very disappointed that the paint is already peeling on the cover (grille is brand new). We emailed blackstone for a new one.,3,0,NA,NA,-1,0
"Well built: I looked at, it seems like a never ending list of grills from all makes and models. We settled this one because it is well built and easy to assemble and disassemble. A lot of thought went into the design of this model.",5,NA,NA,NA,1,0
"Wanted this griddle for years!: I have wanted this for years and finally bought it. Well worth the wait!! Can’t say enough about it, easy to use, easy to put together, and cooking is easy!!!",5,1,NA,1,NA,NA
"1st griddle: Easy assembly, and simple instructions to season.  Cooked burgers, sausages, and bacon the first night we got it, food was great and cleanup (which I was worried about) was very easy.  Would recommend to anyone looking for a flattop grill.",5,1,NA,1,NA,NA
"New Blackstone Griller!: Just seasoned it and looks good. I have a couple of the corners that will eventually fill in. Other than, let’s get cooking. Happy so far.",5,1,NA,NA,1,NA
A great Father’s Day present: My finance loves this!!! I loved the price and that it was all inclusive. I didn’t need to buy a cover or anything. And plenty of tutorials online for seasoning and how to use.,5,1,0,1,1,1
Review: Everything looked good. The griddle went together easily enough. It was missing one of the machine screws on the griddle itself to hold the wing on so I had to run to the hardware store to get one. I will season it tomorrow and give it a gothen,4,NA,NA,NA,0,-1
Wow: griddle part is uneven. had to use washers to stablize,5,NA,NA,-1,NA,NA
Getting ready.: I just finished putting together my Blackstone and have not tried it out yet. My son has one and I have had the most delicious food from his. Looking forward to trying it out in the next few days.,5,NA,NA,NA,NA,NA
"Newly Inspected: Put together super easy with 3 1/2 year old. More than what I wanted because the price was the same as the portable one, however my GF convinced me to purchase this one and so far so very good.",4,1,-1,1,1,0
Assembly was easy: Haven’t used our new grill yet. We are taking the time to watch the seasoning videos and assembly videos first. We have friends that have one and they say it is amazing. So far assembly has been very easy.,5,NA,NA,NA,NA,NA
Blackstone Griddle: Love my new Blackstone Griddle from my kids for Mother’s Day!,5,1,-1,1,1,1
"It's nice: It's nice, it was a really nice thing for the family",4,NA,NA,NA,NA,NA
So far so good: Have used maybe 6 times so far. Loving it so far!,5,NA,NA,NA,NA,NA
Haven’t used it yet: Seems good quality not sure why I have to rate when registering.,4,NA,NA,NA,NA,NA
New Blackstone Owner: New Blackstone owner. Seems like great quality. I’m excited to use it.,5,NA,NA,NA,NA,NA
"Very easy setup: This was a great and quick setup. It is 90% completed. Easy to follow instructions and it fired up straight away. The quality is there too and the griddle plate is a nice heavy piece of steel. 
Looking forward to trying it out!
I would recommend this griddle.",5,1,NA,1,1,NA
Works great: Easy to cook on. Never used a flat top grill and first meal was excellent. Cleanup was a lot easier than I expected,5,1,NA,1,NA,NA
Installation: Thumb screws used to secure stabilizing shelf were shipped incorrectly.  Larger of the two screws wasn’t in packaging.  Only received the two medium screws.   The griddle top looks discolored straight out the package.,3,NA,NA,NA,NA,NA
Setting up: Just setting up the blackstone and love it alrwsdy,5,NA,NA,NA,NA,NA
New user: Just bought and set up. So far product looks good.,5,NA,NA,NA,NA,NA
New Blackstone: Easy enough to assemble.  We will try it out tomorrow.,5,NA,NA,NA,NA,NA
New: Haven't used it yet but I'm looking forward to it.,5,NA,NA,NA,NA,NA
"First Time: Ez assembly, did with one person took maybe 20 minutes.",5,NA,NA,NA,NA,NA
Great!: Great grill and easy to assemble. Excited to try it.,5,NA,NA,NA,NA,NA
"Brand new: Just put the grill together, no problem. About to condition it.",5,NA,NA,NA,NA,NA
Love it!: I’m a mom of 3 boys that can eat A LOT! I got this to make Sunday breakfast a lot easier,5,1,NA,1,1,NA
A must have for your deck: You must have a Blackstone on your deck for any type of outdoor cooking. This thing is great with no issues.,5,1,0,1,1,-1
Fantastic product: We had our first dinner using our new Blackstone.  It was the best chicken we ever had thanks to our Blackstone,5,1,NA,1,1,NA
Just what I wanted: Just what I hoped for made burgers just like takeout but better. Can’t wait to see what other things we can try,5,NA,NA,NA,NA,NA
"1st blackstone/skillet: Putting it together, I wish I would’ve bought a nicer model, but I think it’ll be fine for what we do",3,0,-1,0,1,0
Love: I absolutely love my blackstone. It was super easy to put together. Seasoning was easy. I’m so excited for the endless meal possibilities!,5,1,NA,1,1,NA
1st Blackstone: Haven't used it yet. Seems to be solid construction with the exception of the shelves. They are a little flimsy but should support any cooking items.,4,0,NA,NA,1,-1
"Unboxing now!: I’ve been so excited to get a blackstone for years now, can’t wait to griddle it up! Already prepped the first meal, now to assemble and season!",5,NA,NA,NA,NA,NA
"Great grill and great price: Fired it up this weekend for the eclipse. Super easy to put together, watched a few youtube videos to season and started grilling. The cover is really nice, very heavy duty and a nice added bargain.",5,NA,NA,NA,1,1
New user: Haven't tried it yet. I had to fill out a review so I could close the registration page. I'll review it after I get a chance to use it.,5,NA,NA,NA,NA,NA
Incorrect knob: We were able to use our new grill but come to find out that the company sent us an incorrect knob which doesn’t allow us to use both sides of the grill,1,NA,NA,-1,NA,NA
Birthday gift: Haven't had the chance to cook on it yet but will later today. Dad has one and speaks highly of it.,5,0,-1,1,1,NA
"Great family purchase: Well made, easy to put together.  Can’t wait to get this seasoned and in use! We are all weighing in on what to make first!",5,1,0,1,1,0
"Awesomely righteous Grill!: Simple little flat top the excels in every way! Easy instruction set up!  Very Easy to season and grills chicken like a beast!  
Love it love it love it!",5,1,NA,1,1,NA
"Looks Great!: Haven’t used it yet, but it looks awesome! Seasoning it as we speak, on layer 4 and that should be good. Can’t wait to use it!",5,NA,NA,NA,NA,NA
Great product: I’ve only had it a couple weeks but it works great. First use was cooking bacon. A little sticking even after conditioning but not enough to worry about. My son said the bacon was more savory than usual!,4,1,NA,1,0,NA
Great grill easy to assemble: It’s a great grill very easy to assemble cooks fast,5,1,NA,1,NA,NA
Awesome: Used it for the first time last night. It was so awesome,4,1,0,0,0,0
Blackstone grill assembled: Chelsea at service desk/pickup deserves a raise. she is efficient and does her best to get people through her line while being very polite,4,NA,NA,NA,NA,NA
"Warped griddle surface: The griddle surface is noticeably warped, not flat, causing the mounts to wobble considerably on the stand. Out of the box, not washed/heated/seasoned.",1,-1,NA,NA,NA,NA
Backyard Griddle: I’m giving this griddle 5 stars in hopes it lives up to our high expectations!  We just bought a new home and love our backyard.  This is a brand new addition to our home.,5,1,NA,NA,NA,NA
Good quality: The blackstone is the perfect size and a great quality.,5,1,NA,1,1,NA
Awesome: The 2355 Blackstone is large enough to cook plenty of food for my family of 8. We love it.,5,1,NA,NA,NA,NA
Disappointed: Left hand knob is difficult to turn on and off.  After one use the left hand burner won’t cut on.,1,NA,NA,-1,NA,NA
New to Blackstone: This is my first blackstone. I am looking forward to using it. So far been very easy to set up.,5,NA,NA,NA,NA,NA
New purchase: Excited to use the griddle.  Attaching the griddle wasn’t as easy as expected.  Just took a few shoves and elbow grease.,5,1,-1,0,0,NA
Super excited: Easy to assemble and great to cook on!!,5,1,NA,NA,NA,NA
"Easy to put together, but missing an ignitor button.: When I assembled the griddle I realized that the ignitor button was missing. Other than that it was easy to put together and the build quality is good.",4,NA,NA,NA,NA,NA
Won’t light: Assembled easily and went to turn it on but the ignitor does not work. Looks nice and will work by using a bbq lighter.,2,NA,NA,-1,NA,NA
Easy setup: Setup was super easy. We have a small blackstone that we take camping and love it. Super excited to have the bigger version home version.,5,1,0,1,1,-1
"Love Blackstone: We love everything about Blackstone! All the helpful hints, accessories, everything you can cook on it! It’s just incredible!",5,1,NA,NA,NA,1
Newbie: My first Blackstone Griddle. I’m excited to get started. Just picked up today. Still need to season it before my first cook.,5,1,-1,0,0,0
"Love it but the paint was defective in box: Top cover, paint peeling ( in box) shipped this way, no quality control before boxing in. 
Quality not sure.",3,NA,NA,NA,-1,NA
"Disappointed: Grill top came scratched out of the box. Also Lowe’s said a free gift, spatula etc were included it was not in box.",5,NA,NA,NA,-1,-1
"Ignitor switch does not work: Assembled this 28 inch griddle. Followed instructions. Took 30 mins or so. Griddle wont ignite. Fresh battery installed, plenty propane gas. Just won’t light.",1,NA,NA,NA,NA,NA
So far so good for the most part: Seasoning it was a breeze. The lid is already flaking though and it hasn't seen heat or the weather even for 10 minutes. Will see how it goes from here,4,1,0,0,-1,NA
28” Blackstone: Haven’t used it yet but heard great things!,5,NA,NA,NA,NA,NA
Unknown: Just purchased this.  Have heard a lot of good things. Hopefully will be as good as we’ve heard.,4,NA,NA,NA,NA,NA
"Buzzin sound from hookup to propane tank: Grill was easy to put together but once I hooked up the propane and got the grill lit, the regulator started to buzz as the gas was flowing.",4,NA,NA,NA,NA,NA
Easy to assemble: Have not used it yet do to the weather. Looking forward to better weather to get it rocken & a rolling!!,5,NA,NA,NA,NA,NA
"LAZY LOWES EMPLOYEES: THEY ACTUALLY THOUGHT I WOULD ACCEPT A FLOOR MODEL AS MY 350.00 GRILL PURCHASE.   MISSING PARTS, ALL SCRATCHED UP,  I HATE LOWES",1,NA,NA,NA,-1,NA
Happy Mother’s Day: So excited to have my own Blackstone!,5,1,1,1,1,1
Love it!: Best grill I’ve ever owned. Long overdue purchase.,5,NA,NA,NA,NA,NA
N/A: We have not used yet. Looks great.,5,NA,NA,NA,NA,NA
"Just purchased: Haven’t used the griddle yet, though I’m going to get it seasoned in the next few days. I’m so hoping to enjoy this one! I’ll come back and give a 5 star if  there’s no problem.",3,NA,NA,NA,NA,NA
Pretty good: Set up was pretty easy but one screw was so tight I couldnt loosen it to add on the right side tray,4,NA,NA,1,-1,NA
Malfunction: Purchased 4/13. Used 3 times. Ignitor no longer working so we must manually light. Unable to use right knob to turn on gas,2,NA,NA,-1,NA,NA
