review_content,review_rating,raw_cooking_surface,overall_cooking_surface,cooking_surface_opinion,cooking_surface,raw_portability,overall_portability,portability_opinion,portability,raw_heat_control,overall_heat_control,heat_control_opinion,heat_control,raw_durability,overall_durability,durability_opinion,durability,raw_accessories,overall_accessories,accessories_opinion,accessories
"Great Blackstone: Great grill, perfect size, breakfast on the grill is exceptional, steaks are perfect as are the veggies we grill.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill has a great cooking surface.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that the grill has a great cooking surface.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that breakfast on the grill is exceptional, steaks are perfect, and veggies are grilled perfectly.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,"The reviewer mentions that breakfast on the grill is exceptional, steaks are perfect, and veggies are grilled perfectly.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not mention any specific accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
"Very nice outdoor griddle: Easy set up. Have used it a couple times now for turkey burgers, chicken fajitas, and beef burgers. Hot side Sears really good and low side finishes them off. Also like how easy it breaks down for travel. Perfect size for m needs.[Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the cooking surface is perfect for cooking turkey burgers, chicken fajitas, and beef burgers. They also mention that the hot side sears really well and the low side finishes the food off.
3. The reviewer's opinion on the cooking_surface is POSITIVE. They appreciate the size and material of the cooking surface, as well as its heat distribution and non-stick properties.",POSITIVE,"The reviewer mentions that the cooking surface is perfect for cooking turkey burgers, chicken fajitas, and beef burgers. They also mention that the hot side sears really well and the low side finishes the food off.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they like how easy the griddle breaks down for travel.
3. Sentiment on portability is POSITIVE",POSITIVE,The reviewer mentions that they like how easy the griddle breaks down for travel.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the hot side sears really good and the low side finishes off the food.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the hot side sears really good and the low side finishes off the food.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is easy to set up, has been used multiple times, and breaks down easily for travel.
3. The reviewer's opinion on durability is POSITIVE, as they mention using it multiple times and finding it easy to break down for travel, indicating that it is sturdy and long-lasting.",POSITIVE,"The reviewer mentions that the griddle is easy to set up, has been used multiple times, and breaks down easily for travel.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they like how easy the griddle breaks down for travel, but does not specifically mention any accessories like a cover, side shelves, or other tools.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions that they like how easy the griddle breaks down for travel, but does not specifically mention any accessories like a cover, side shelves, or other tools.",NOT MENTIONED
"Worked great for a week: I've had it for two weeks. The first week was great - I made burgers, steaks, chicken, shrimp, and various vegetables. All came out good. This week, one of the burner knobs came off and that burner won't light anymore.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they used the cooking surface to make burgers, steaks, chicken, shrimp, and various vegetables.
3. The reviewer's opinion on the cooking_surface is NEGATIVE as they experienced an issue with one of the burner knobs coming off and that burner not lighting anymore.",NEGATIVE,"The reviewer mentions that they used the cooking surface to make burgers, steaks, chicken, shrimp, and various vegetables.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention anything about the portability of the griddle.
3. The sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not mention anything about the portability of the griddle.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the burner knob came off and one burner won't light anymore.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,The reviewer mentions that the burner knob came off and one burner won't light anymore.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that one of the burner knobs came off after just one week of use.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,The reviewer mentions that one of the burner knobs came off after just one week of use.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. The sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Yours may be flawed like ours with not lighting on: The grill is nice, but we can’t get it lit by pushing we have to light it with a lighter do not like that part so something must be wrong with it to come out of the box like that[Rating - 3/5]",3,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill is nice, but they have trouble getting it lit without using a lighter.
3. The reviewer's opinion on the cooking_surface is NEGATIVE.",NEGATIVE,"The reviewer mentions that the grill is nice, but they have trouble getting it lit without using a lighter.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the grill is nice, but they have an issue with not being able to light it by pushing and having to use a lighter instead.
3. The sentiment on portability is NEGATIVE as the reviewer does not specifically mention anything about the portability of the grill.",NEGATIVE,"The reviewer mentions that the grill is nice, but they have an issue with not being able to light it by pushing and having to use a lighter instead.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that they are unable to get the grill lit by pushing and have to use a lighter instead.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,The reviewer mentions that they are unable to get the grill lit by pushing and have to use a lighter instead.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the grill is nice but they are unable to get it lit by pushing and have to use a lighter instead.
3. The reviewer's opinion on the durability is NEGATIVE, as they mention that something must be wrong with the grill to come out of the box like that.",NEGATIVE,The reviewer mentions that the grill is nice but they are unable to get it lit by pushing and have to use a lighter instead.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they have to light the grill with a lighter instead of being able to light it by pushing a button.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEGATIVE,The reviewer mentions that they have to light the grill with a lighter instead of being able to light it by pushing a button.,NOT MENTIONED
Husbands Early Fathers Day Gift: Quality product as far as structure & parts but when we got the flat top on it was difficult because it’s warped but we had to force it and scratch it up a bit but nothing that will be noticeable[Rating - 4/5],4,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the flat top of the product was difficult to put on because it was warped.
3. The reviewer's opinion on the cooking_surface is NEGATIVE.",NEUTRAL,The reviewer mentions that the flat top of the product was difficult to put on because it was warped.,NEGATIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the flat top of the griddle was difficult to put on because it was warped.
3. The reviewer's opinion on the portability is NEGATIVE.",POSITIVE,The reviewer mentions that the flat top of the griddle was difficult to put on because it was warped.,NEGATIVE,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the flat top of the product was difficult to put on because it was warped.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEUTRAL,The reviewer mentions that the flat top of the product was difficult to put on because it was warped.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is of quality structure and parts.
3. The reviewer's opinion on durability is NEUTRAL, as they mention that the flat top was difficult to put on due to warping, but they had to force it and scratch it up a bit. However, they also mention that it's nothing that will be noticeable, indicating that it may not affect the overall durability significantly.",POSITIVE,The reviewer mentions that the griddle is of quality structure and parts.,NEUTRAL,"1. The overall review is POSITIVE.
2. The reviewer mentions that the flat top included in the bundle was difficult to put on because it was warped.
3. The reviewer's opinion on the accessories is NEUTRAL.",POSITIVE,The reviewer mentions that the flat top included in the bundle was difficult to put on because it was warped.,NEUTRAL
"It should be great, once it works: I cleaned the grill as instructed and let it dry, I was going to heat it up and treat the top but no ignition, no click or anything.  Also the burner knob closest to the ignition button turns very rough, can't tell of it is actually working at all.  Im hoping Blackstone can help me resolve this so i can start grilling.[Rating - 3/5]",3,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they cleaned the grill as instructed and were going to treat the top, but encountered issues with the ignition and the burner knob.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that they cleaned the grill as instructed and were going to treat the top, but encountered issues with the ignition and the burner knob.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that they were unable to even heat up the grill due to an issue with the ignition and a rough burner knob.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,The reviewer mentions that they were unable to even heat up the grill due to an issue with the ignition and a rough burner knob.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions issues with the ignition and a rough burner knob.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,The reviewer mentions issues with the ignition and a rough burner knob.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. The sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Best grill: Best grill I ever had! Only one problem igniter didn't work but thats ok I just light it with a lighter, still love it!!![Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the grill is the best they ever had.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",POSITIVE,The reviewer mentions that the grill is the best they ever had.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the igniter didn't work, but they are still able to use the grill by lighting it with a lighter.
3. The reviewer's opinion on portability is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the igniter didn't work, but they are still able to use the grill by lighting it with a lighter.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the igniter didn't work, but they are still able to light the grill with a lighter.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the igniter didn't work, but they are still able to light the grill with a lighter.",NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the igniter didn't work, but they still love the grill.
3. The reviewer's opinion on durability is POSITIVE, as they still love the grill despite the igniter issue.",POSITIVE,"The reviewer mentions that the igniter didn't work, but they still love the grill.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the igniter didn't work, but they are still happy with the grill.
3. The reviewer does not specifically mention the accessories, so it is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the igniter didn't work, but they are still happy with the grill.",NOT MENTIONED
"Blackstone grill: Great grill easy to use and easy to season. 
The guys at Lowes put it together for me and loaded in my car. Love this grill 
Thank you[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the Blackstone grill is easy to use and easy to season.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that the Blackstone grill is easy to use and easy to season.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the guys at Lowes put the grill together for them and loaded it into their car.
3. Sentiment on portability is POSITIVE",POSITIVE,The reviewer mentions that the guys at Lowes put the grill together for them and loaded it into their car.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention the heat_control aspect of the grill.
3. The sentiment on heat_control is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention the heat_control aspect of the grill.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill is easy to use and easy to season.
3. The reviewer's opinion on durability is POSITIVE, as they do not mention any issues with the sturdiness or longevity of the grill.",POSITIVE,The reviewer mentions that the grill is easy to use and easy to season.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not mention any specific accessories in the review.
3. The reviewer does not mention any opinion on the accessories.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
"Best all around grill: I love the blackstone grill!  If your wondering if its right for you, don't hesitate.  Its perfect for quickly cooking pancakes for a crowd.  Chicken does not come out burnt.  Great for grilling veggies.  Easy to clean with the scraper and water bottle.  I recommend the Blackstone griddle seasoning and cast iron conditioner.  We love our grill and use it weekly![Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer talks about how the Blackstone grill is perfect for quickly cooking pancakes for a crowd, grilling veggies, and how chicken does not come out burnt.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,"The reviewer talks about how the Blackstone grill is perfect for quickly cooking pancakes for a crowd, grilling veggies, and how chicken does not come out burnt.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the Blackstone grill is perfect for quickly cooking pancakes for a crowd, chicken does not come out burnt, and it is great for grilling veggies.
3. The reviewer's opinion on the heat_control is POSITIVE as they mention that the grill is perfect for cooking a variety of foods without burning them.",POSITIVE,"The reviewer mentions that the Blackstone grill is perfect for quickly cooking pancakes for a crowd, chicken does not come out burnt, and it is great for grilling veggies.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the Blackstone grill is easy to clean with the scraper and water bottle, and recommends using Blackstone griddle seasoning and cast iron conditioner.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,"The reviewer mentions that the Blackstone grill is easy to clean with the scraper and water bottle, and recommends using Blackstone griddle seasoning and cast iron conditioner.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions the Blackstone griddle seasoning and cast iron conditioner as accessories.
3. The reviewer's opinion on the accessories is POSITIVE.",POSITIVE,The reviewer mentions the Blackstone griddle seasoning and cast iron conditioner as accessories.,POSITIVE
"28’’ blackstone griddle: Quality control wasn’t that great, there are things that look off especially in the griddle. The griddle also did not fit well the holes were not aligned. I don’t expect this to last more than 2 years.[Rating - 5/5]",5,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the quality control of the griddle wasn't great, with things looking off and the holes not aligned.
3. The reviewer's opinion on the cooking_surface is NEGATIVE.",NEGATIVE,"The reviewer mentions that the quality control of the griddle wasn't great, with things looking off and the holes not aligned.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer did not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the griddle did not fit well and the holes were not aligned.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the griddle did not fit well and the holes were not aligned.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the quality control wasn't great, there are things that look off in the griddle, and the holes were not aligned.
3. The reviewer's opinion on the durability is NEGATIVE as they mention that they don't expect it to last more than 2 years.",NEGATIVE,"The reviewer mentions that the quality control wasn't great, there are things that look off in the griddle, and the holes were not aligned.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"New to blackstone: I’m excited to get started, grill looks and feels very solid. Smash burgers and eggs /bacon are first things I’m excited to start cooking.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that they are excited to start cooking smash burgers and eggs/bacon on the grill.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that they are excited to start cooking smash burgers and eggs/bacon on the grill.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they are excited to start cooking smash burgers and eggs/bacon on the grill.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that they are excited to start cooking smash burgers and eggs/bacon on the grill.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the grill looks and feels very solid.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,The reviewer mentions that the grill looks and feels very solid.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not mention any specific accessories in the review.
3. Sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
"Awesome Griddle: This will be my first to own, it was a house warming gift and I cannot be more excited! Super easy to put together and season. Ready for summers full of grilling, pool parties, and making memories![Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is easy to put together and season, indicating that the cooking_surface is likely a key feature of the product.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,"The reviewer mentions that the griddle is easy to put together and season, indicating that the cooking_surface is likely a key feature of the product.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle is super easy to put together and season, indicating that the heat_control is user-friendly.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,"The reviewer mentions that the griddle is super easy to put together and season, indicating that the heat_control is user-friendly.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is easy to put together and season, indicating that it is user-friendly.
3. Sentiment on durability is POSITIVE",POSITIVE,"The reviewer mentions that the griddle is easy to put together and season, indicating that it is user-friendly.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle was a housewarming gift and is excited about using it for grilling, pool parties, and making memories.
3. The reviewer does not mention any specific accessories included with the griddle, so the sentiment on accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the griddle was a housewarming gift and is excited about using it for grilling, pool parties, and making memories.",NOT MENTIONED
OUTDOOR CHEF'S DREAM: I've been looking and waiting for the right moment to complete my outdoor cooking team. This griddle is EXACTLY what I've been after. Many members of my family in Arkansas have a Blackstone and we've enjoyed each and every cookout on them. Glad I have mine now for when they venture to Ohio!![Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer talks about the griddle being exactly what they have been after for their outdoor cooking team.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer talks about the griddle being exactly what they have been after for their outdoor cooking team.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they have been waiting for the right moment to complete their outdoor cooking team and that they are glad to have the griddle now for when their family ventures to Ohio.
3. The reviewer does not specifically mention portability, so the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer mentions that they have been waiting for the right moment to complete their outdoor cooking team and that they are glad to have the griddle now for when their family ventures to Ohio.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they have been looking for the right moment to complete their outdoor cooking team and that this griddle is exactly what they have been after.
3. The reviewer's opinion on the heat_control is POSITIVE. They mention that they have enjoyed each and every cookout on a Blackstone griddle, which implies that they appreciate the heat control and consistent cooking results it provides.",POSITIVE,The reviewer mentions that they have been looking for the right moment to complete their outdoor cooking team and that this griddle is exactly what they have been after.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they have been waiting for the right moment to complete their outdoor cooking team and that the griddle is exactly what they have been after.
3. The reviewer's opinion on durability is POSITIVE as they mention that many members of their family have a Blackstone griddle and they have enjoyed each and every cookout on them.",POSITIVE,The reviewer mentions that they have been waiting for the right moment to complete their outdoor cooking team and that the griddle is exactly what they have been after.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they have been waiting for the right moment to complete their outdoor cooking team and that the griddle is exactly what they have been after.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that they have been waiting for the right moment to complete their outdoor cooking team and that the griddle is exactly what they have been after.,NOT MENTIONED
Love it! Not your typical grill: Great griddle! Easy to assemble. Food cooks evenly. Excited to use it on a regular basis for all types of cooking.[Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the grill has a great griddle and that the food cooks evenly on it.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that the grill has a great griddle and that the food cooks evenly on it.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the food cooks evenly, which indicates good heat control.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,"The reviewer mentions that the food cooks evenly, which indicates good heat control.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Durability sentiment is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not mention any accessories in the review.
3. Not mentioned.",POSITIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"New griddle.: We purchased the blackstone a couple weeks ago and I've gotten to use it multiple times already. It's amazing, heats up so fast, and easy to clean. It's been a game changer for cooking outside![Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle heats up fast, is easy to clean, and has been a game changer for cooking outside.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,"The reviewer mentions that the griddle heats up fast, is easy to clean, and has been a game changer for cooking outside.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle heats up very fast.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the griddle heats up very fast.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they have used the griddle multiple times already.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,The reviewer mentions that they have used the griddle multiple times already.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not mention any accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Getting started: Everything was well packaged, took everything out of the box, checked to make sure all items were there and then assembled everything by myself with no issues. Took about 30 minutes. Need to season the griddle and try it out.[Rating - 4/5]",4,"1. The overall review is POSITIVE.
2. The reviewer mentions that they need to season the griddle and try it out.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",POSITIVE,The reviewer mentions that they need to season the griddle and try it out.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they need to season the griddle and try it out.
3. The reviewer does not mention their opinion on the heat_control specifically.",POSITIVE,The reviewer mentions that they need to season the griddle and try it out.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they assembled everything by themselves with no issues, which implies that the griddle was easy to put together and did not show any signs of wear or damage during assembly.
3. The reviewer's opinion on durability is POSITIVE, as they did not mention any issues with the sturdiness or longevity of the griddle.",POSITIVE,"The reviewer mentions that they assembled everything by themselves with no issues, which implies that the griddle was easy to put together and did not show any signs of wear or damage during assembly.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they checked to make sure all items were there and then assembled everything by themselves with no issues.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that they checked to make sure all items were there and then assembled everything by themselves with no issues.,NOT MENTIONED
"So far so great: After putting it together, I noticed the ignition assembly was broken.  Hopefully Blackstone will help me get it fixed.  I used a grill starter to season it, and then cooked a few meals on it.  Meals were great and I had fun doing it.  Looking forward to more meals on the blackstone![Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions using the cooking surface to season it and cook meals on it.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions using the cooking surface to season it and cook meals on it.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions using a grill starter to season the griddle and cooking meals on it.
3. The reviewer's opinion on the heat_control is NOT MENTIONED",POSITIVE,The reviewer mentions using a grill starter to season the griddle and cooking meals on it.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that after putting the griddle together, they noticed the ignition assembly was broken.
3. The reviewer does not specifically mention their opinion on the durability of the griddle, so it is NOT MENTIONED.",POSITIVE,"The reviewer mentions that after putting the griddle together, they noticed the ignition assembly was broken.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not mention any specific accessories in the review.
3. The reviewer does not mention any opinion on the accessories.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
"Not happy: The hard cover is missing a handle and the paint on the back is chipping off, and there’s a miss alignment with the griddle one of the front pins is not sitting right.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that there is a miss alignment with the griddle and one of the front pins is not sitting right.
3. The sentiment on cooking_surface is NEGATIVE.",NEGATIVE,The reviewer mentions that there is a miss alignment with the griddle and one of the front pins is not sitting right.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the hard cover is missing a handle, which could affect the portability of the griddle.
3. The reviewer's opinion on the portability is NEGATIVE, as they mention the missing handle and potential issues with moving and transporting the griddle.",NEGATIVE,"The reviewer mentions that the hard cover is missing a handle, which could affect the portability of the griddle.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions issues with the hard cover missing a handle, paint chipping off, and a misalignment with the griddle.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,"The reviewer mentions issues with the hard cover missing a handle, paint chipping off, and a misalignment with the griddle.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the hard cover is missing a handle and the paint on the back is chipping off.
3. The reviewer's opinion on the accessories is NEGATIVE.",NEGATIVE,The reviewer mentions that the hard cover is missing a handle and the paint on the back is chipping off.,NEGATIVE
